"@timestamp","process.parent.executable","process.parent.command_line","process.executable","process.command_line","process.pid","file.path","Target.process.executable","Target.process.pid","source.ip","destination.ip","dns.question.name","dll.path","registry.path","event.action"
"Jun 1, 2026 @ 14:21:01.086","-","-","C:\Program Files\WindowsApps\Claude_1.9659.2.0_x64__pzs8sxrjxfjjc\app\claude.exe","-","34,940","C:\Users\DELL\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\sentry\session.json","-","-","-","-","-","-","-",overwrite
"Jun 1, 2026 @ 14:21:03.061","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","150.171.22.11","-","-","-","disconnect_received"
"Jun 1, 2026 @ 14:21:03.171","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","20.135.4.173","-","-","-","connection_attempted"
"Jun 1, 2026 @ 14:21:03.603","-","-","C:\Windows\System32\svchost.exe","-","19,952","-","-","-","173.10.254.170","173.10.254.244","-","-","-","connection_attempted"
"Jun 1, 2026 @ 14:21:03.964","-","-","C:\Windows\System32\svchost.exe","-","19,952","-","-","-","173.10.254.170","173.10.254.244","-","-","-","disconnect_received"
"Jun 1, 2026 @ 14:21:04.987","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /Delete /F /tn ""Microsoft\Office\Office ClickToRun Service Monitor""","27,032","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:04.988","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Program Files\Microsoft Office\root\Integration\Integrator.exe","integrator.exe /I /License PRIDName=O365BusinessRetail.16,O365ProPlusRetail.16 /C2R PackageGUID=""9AC08E99-230B-47e8-9721-4577B7F124EA"" PackageRoot=""C:\Program Files\Microsoft Office\root""","10,052","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:04.999","C:\Program Files\Microsoft Office\root\Integration\Integrator.exe","integrator.exe /I /License PRIDName=O365BusinessRetail.16,O365ProPlusRetail.16 /C2R PackageGUID=""9AC08E99-230B-47e8-9721-4577B7F124EA"" PackageRoot=""C:\Program Files\Microsoft Office\root""","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","8,432","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.011","C:\Windows\System32\schtasks.exe","schtasks.exe /Delete /F /tn ""Microsoft\Office\Office ClickToRun Service Monitor""","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","17,304","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.079","-","-","C:\Windows\System32\schtasks.exe","-","27,032","-","-","-","-","-","-","C:\Windows\System32\taskschd.dll","-",load
