Chain ID,Root Process,Child Process,Full Child Path,Chain Risk Score,Detection Count,Detections,Chain Summary,MITRE Technique,MITRE Name
AC-0004,-,excel.exe,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,100,265,External Communication | Network Outlier | Network Outlier,- → excel.exe,,
AC-0003,-,integrator.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,100,17,Persistence,- → integrator.exe,,
AC-0051,integrator.exe,schtasks.exe,C:\Windows\System32\schtasks.exe,100,20,LOLBin Abuse | LOLBin Abuse | Sigma Match,integrator.exe → schtasks.exe,T1053.005,Scheduled Task
AC-0052,office_portable_x3.exe,schtasks.exe,C:\Windows\System32\schtasks.exe,100,2,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,office_portable_x3.exe → schtasks.exe,T1053.005,Scheduled Task
AC-0018,microsoft-365-16-0-19725-20152.exe,microsoft-365-16-0-19725-20152.exe,C:\Users\DELL\Downloads\microsoft-365-16-0-19725-20152.exe,100,2,Malware Staging | Rare Parent-Child | Sigma Match,microsoft-365-16-0-19725-20152.exe → microsoft-365-16-0-19725-20152.exe,,
AC-0017,-,microsoft-365-16-0-19725-20152.exe,C:\Users\DELL\Downloads\microsoft-365-16-0-19725-20152.exe,100,4,Malware Staging | Sigma Match,- → microsoft-365-16-0-19725-20152.exe,,
AC-0023,cmd.exe,office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,100,4,EDR Rule Detection | Malware Staging | Sigma Match | Malware Staging | Sigma Match,cmd.exe → office_portable_x3.exe,,
AC-0022,powershell.exe,office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,100,4,EDR Rule Detection | Malware Staging | Sigma Match | Malware Staging | Sigma Match,powershell.exe → office_portable_x3.exe,,
AC-0021,office_portable_x3.exe,office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,100,8,EDR Rule Detection | Malware Staging | Sigma Match | Malware Staging | Sigma Match,office_portable_x3.exe → office_portable_x3.exe,,
AC-0034,powershell.exe,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,100,1,Download Execute | LOLBin Abuse | PowerShell Payload | Rare Parent-Child | Sigma Match,powershell.exe → powershell.exe,T1059.001,PowerShell
AC-0027,msiexec.exe,msiexec.exe,C:\Windows\SysWOW64\msiexec.exe,100,4,LOLBin Abuse | PowerShell Payload,msiexec.exe → msiexec.exe,T1218,
AC-0032,-,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,100,127,External Communication | LOLBin Abuse | LOLBin Abuse,- → powershell.exe,T1059.001,PowerShell
AC-0024,-,uusd.exe,C:\Users\Public\Pictures\kelotopu\uusd.exe,100,21,External Communication | Malware Staging | Network Outlier | Sigma Match | Malware Staging | Network Outlier | Sigma Match,- → uusd.exe,,
AC-0025,wscript.exe,uusd.exe,C:\Users\Public\Pictures\kelotopu\uusd.exe,100,3,EDR Rule Detection | Malware Staging | Network Outlier | Sigma Match | Malware Staging | Network Outlier | Sigma Match,wscript.exe → uusd.exe,,
AC-0020,-,office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,100,130,Malware Staging | Sigma Match,- → office_portable_x3.exe,,
AC-0038,-,curl.exe,C:\Windows\System32\curl.exe,100,5,External Communication | LOLBin Abuse | LOLBin Abuse | LOLBin Abuse | Recon / IP Discovery,- → curl.exe,T1016,System Network Config Discovery
AC-0036,office_portable_x3.exe,cmd.exe,C:\Windows\System32\cmd.exe,100,13,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Defense Evasion | LOLBin Abuse | PowerShell Payload | Defense Evasion | LOLBin Abuse | PowerShell Payload | Sigma Match | LOLBin Abuse,office_portable_x3.exe → cmd.exe,T1059.003,Windows Command Shell
AC-0059,-,vc_redist.x64.exe,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,100,61,Malware Staging,- → vc_redist.x64.exe,,
AC-0043,-,lsass.exe,C:\Windows\System32\lsass.exe,100,6,External Communication | Sigma Match,- → lsass.exe,,
AC-0044,-,msiexec.exe,C:\Windows\System32\msiexec.exe,100,62,LOLBin Abuse,- → msiexec.exe,T1218,
AC-0057,svchost.exe,wscript.exe,C:\Windows\System32\wscript.exe,100,9,EDR Rule Detection | LOLBin Abuse | Sigma Match | Suspicious Parent-Child | LOLBin Abuse | Sigma Match | Suspicious Parent-Child,svchost.exe → wscript.exe,T1059.005,Visual Basic
