Timestamp,Process,Parent Process,Command Line,Detection Type,Risk Score,Investigation Reason,Source IP,Destination IP,Registry Path,File Path,DNS Query,Event Action,PID,MITRE Technique,MITRE Name,Allowlisted,Severity,Confidence,FP Assessment,Analyst Verdict,Recommendation,Alert ID
"Jun 1, 2026 @ 14:23:53.265",C:\Users\DELL\office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,"""C:\Users\DELL\office_portable_x3.exe"" ",EDR Rule Detection | Malware Staging | Sigma Match,100,EDR/AV rule fired: office_portable_x3.exe ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,-,-,rule_detection,"22,348",T1036,Masquerading,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-2F2CDD05
"Jun 1, 2026 @ 14:23:53.261",C:\Users\DELL\office_portable_x3.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Users\DELL\office_portable_x3.exe"" ",EDR Rule Detection | Malware Staging | Sigma Match,100,EDR/AV rule fired: office_portable_x3.exe ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,-,-,rule_detection,"9,916",T1036,Masquerading,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-AC78AF4A
"Jun 1, 2026 @ 14:24:52.508",C:\Windows\System32\wscript.exe,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\wscript.exe"" C:\Users\Public\Pictures\kelotopu\xuvotopo.js",EDR Rule Detection | LOLBin Abuse | Sigma Match | Suspicious Parent-Child,100,EDR/AV rule fired: wscript.exe ; LOLBin executed: wscript.exe ; Suspicious spawn: svchost.exe → wscript.exe ; svchost.exe launching a script interpreter,-,-,-,-,-,rule_detection,"33,896",T1059.005,Visual Basic,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-CE80C87B
"Jun 1, 2026 @ 14:24:52.510",C:\Windows\System32\wscript.exe,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\wscript.exe"" C:\Users\Public\Pictures\kelotopu\xuvotopo.js",EDR Rule Detection | LOLBin Abuse | Sigma Match | Suspicious Parent-Child,100,EDR/AV rule fired: wscript.exe ; LOLBin executed: wscript.exe ; Suspicious spawn: svchost.exe → wscript.exe ; svchost.exe launching a script interpreter,-,-,-,-,-,rule_detection,"33,896",T1059.005,Visual Basic,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-9C84DAE0
"Jun 1, 2026 @ 14:24:52.513",C:\Windows\System32\wscript.exe,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\wscript.exe"" C:\Users\Public\Pictures\kelotopu\xuvotopo.js",EDR Rule Detection | LOLBin Abuse | Sigma Match | Suspicious Parent-Child,100,EDR/AV rule fired: wscript.exe ; LOLBin executed: wscript.exe ; Suspicious spawn: svchost.exe → wscript.exe ; svchost.exe launching a script interpreter,-,-,-,-,-,rule_detection,"33,896",T1059.005,Visual Basic,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-6E3AF984
"Jun 1, 2026 @ 14:24:52.516",C:\Users\Public\Pictures\kelotopu\uusd.exe,C:\Windows\System32\wscript.exe,"""C:\Users\Public\Pictures\kelotopu\uusd.exe"" ",EDR Rule Detection | Malware Staging | Network Outlier | Sigma Match,100,EDR/AV rule fired: uusd.exe ; Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; Abnormally high distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper,-,-,-,-,-,rule_detection,"7,288",T1036,Masquerading,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-4D937D62
"Jun 1, 2026 @ 14:23:04.853",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\DELL\AppData\Local\Temp\_MEI99162\select.pyd,-,deletion,"9,916",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-DB909745
"Jun 1, 2026 @ 14:23:04.854",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\DELL\AppData\Local\Temp\_MEI99162\VCRUNTIME140.dll,-,deletion,"9,916",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-971A881F
"Jun 1, 2026 @ 14:23:04.855",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_ctypes.pyd,-,deletion,"9,916",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-E91DD816
"Jun 1, 2026 @ 14:23:04.856",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_hashlib.pyd,-,deletion,"9,916",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-688556DD
"Jun 1, 2026 @ 14:23:04.857",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_socket.pyd,-,deletion,"9,916",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-2B9908F6
"Jun 1, 2026 @ 14:23:04.838",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\002.xml,-,deletion,"9,916",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-EE9AA75B
"Jun 1, 2026 @ 14:23:04.840",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\002_b.js,-,deletion,"9,916",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-69E8DF1E
"Jun 1, 2026 @ 14:23:04.841",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\pack.js,-,deletion,"9,916",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-E87EB71B
"Jun 1, 2026 @ 14:23:01.254",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,100,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,HKEY_USERS\S-1-5-21-3330616437-3750286687-2521933251-1001\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,-,-,modification,"22,348",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-5581FD2F
