IOC Type,IOC Value,Source,Context,Timestamp,Risk,TI Verdict,TI Tags,TI Confidence
Registry Key,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\xuvotopo,registry.path,Process: C:\Windows\System32\reg.exe,"Jun 1, 2026 @ 14:23:25.848",High,Malicious,Persistence key,90
IP,103.243.115.106,destination.ip,Process: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"Jun 1, 2026 @ 14:21:09.185",Unknown,Malicious,Known C2 range,85
IP,103.243.115.105,destination.ip,Process: C:\Windows\System32\svchost.exe,"Jun 1, 2026 @ 14:21:11.077",Unknown,Malicious,Known C2 range,85
IP,103.243.115.104,destination.ip,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:08.409",Unknown,Malicious,Known C2 range,85
IP,103.243.115.112,destination.ip,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:23:19.971",Unknown,Malicious,Known C2 range,85
Domain,ipinfo.io,dns.question.name,Process: C:\Windows\System32\curl.exe,"Jun 1, 2026 @ 14:23:19.753",Unknown,Recon,IP geolocation API,80
URL,https://ipinfo.io/country,command_line,Process: C:\Windows\System32\curl.exe,"Jun 1, 2026 @ 14:23:19.684",Unknown,Recon,IP geolocation API,80
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\VCRUNTIME140.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.479",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\VCRUNTIME140_1.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.481",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_bz2.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.483",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_ctypes.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.487",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_decimal.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.494",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_hashlib.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.496",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_lzma.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.499",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_socket.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.502",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_uuid.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.503",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\_wmi.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.505",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\base_library.zip,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.527",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\campus.py,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.536",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\002.xml,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.538",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\002_b.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.541",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\002_d.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.543",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\002_n.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.545",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\002a.txt,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.569",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\002w.txt,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.572",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\data_p002\pack.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.573",Medium,Suspicious,Suspicious path,70
