Depth,PID,Process,Process Name,Parent,Parent Name,Event Count,Alert Severity,Alert Score,Detection Types,Suspicious
0,5516,C:\Windows\System32\msiexec.exe,msiexec.exe,C:\Windows\System32\services.exe,services.exe,92,CRITICAL,100,LOLBin Abuse,YES
0,1860,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,,,17,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
0,7884,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,,,2,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
0,992,C:\Windows\System32\lsass.exe,lsass.exe,,,24,CRITICAL,90,Sigma Match,YES
0,25088,C:\Users\DELL\Downloads\microsoft-365-16-0-19725-20152.exe,microsoft-365-16-0-19725-20152.exe,,,2,CRITICAL,80,Malware Staging | Rare Parent-Child | Sigma Match,YES
0,33012,C:\Users\DELL\Downloads\microsoft-365-16-0-19725-20152.exe,microsoft-365-16-0-19725-20152.exe,,,4,CRITICAL,80,Malware Staging | Rare Parent-Child | Sigma Match,YES
0,31960,C:\Program Files\WindowsApps\MSTeams_26106.1911.4707.3286_x64__8wekyb3d8bbwe\ms-teams.exe,ms-teams.exe,,,1,FP-SUPPRESSED,45,External Communication | Rare Parent-Child | Rare Process,YES
0,37124,C:\Windows\System32\VSSVC.exe,vssvc.exe,C:\Windows\System32\services.exe,services.exe,2,LOW,30,Rare Parent-Child | Rare Process,YES
0,26548,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11321.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,windowsterminal.exe,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11321.0_x64__8wekyb3d8bbwe\wt.exe,wt.exe,1,FP-SUPPRESSED,30,Rare Parent-Child | Rare Process,YES
0,7284,C:\Windows\explorer.exe,explorer.exe,,,20,LOW,20,Malware Staging,YES
0,5408,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,searchhost.exe,,,19,LOW,20,Malware Staging,YES
0,16316,C:\Windows\System32\sppsvc.exe,sppsvc.exe,C:\Windows\System32\services.exe,services.exe,9,INFO,15,Rare Parent-Child,YES
0,35248,C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,onedrivestandaloneupdater.exe,,,4,INFO,15,Rare Parent-Child,YES
0,15932,C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,onedrivestandaloneupdater.exe,,,4,INFO,15,Rare Parent-Child,YES
0,20548,C:\Windows\System32\smartscreen.exe,smartscreen.exe,,,4,INFO,15,Rare Parent-Child,YES
0,34940,C:\Program Files\WindowsApps\Claude_1.9659.2.0_x64__pzs8sxrjxfjjc\app\claude.exe,claude.exe,,,25,,0,,
0,35608,C:\Program Files\Microsoft OneDrive\OneDrive.exe,onedrive.exe,,,523,,0,,
0,19952,C:\Windows\System32\svchost.exe,svchost.exe,,,8,,0,,
0,1964,C:\Windows\System32\svchost.exe,svchost.exe,,,93,,0,,
0,11184,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe,msedgewebview2.exe,,,27,,0,,
0,1648,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe,msedgewebview2.exe,,,33,,0,,
0,12420,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe,,,6,,0,,
0,3840,C:\Windows\System32\svchost.exe,svchost.exe,,,42,,0,,
0,3584,C:\Windows\System32\spoolsv.exe,spoolsv.exe,,,3,,0,,
0,8136,C:\Windows\System32\svchost.exe,svchost.exe,C:\Windows\System32\services.exe,services.exe,12,,0,,
0,37844,C:\Program Files\Microsoft OneDrive\OneDrive.exe,onedrive.exe,,,3,,0,,
0,15032,C:\Windows\System32\SearchIndexer.exe,searchindexer.exe,,,20,,0,,
0,28004,C:\Windows\System32\SearchIndexer.exe,searchindexer.exe,C:\Windows\System32\services.exe,services.exe,28,,0,,
0,13268,C:\Windows\System32\svchost.exe,svchost.exe,,,19,,0,,
0,9292,C:\Windows\System32\svchost.exe,svchost.exe,,,3,,0,,
0,8508,C:\Windows\System32\SearchIndexer.exe,searchindexer.exe,C:\Windows\System32\services.exe,services.exe,12,,0,,
0,10144,C:\Windows\System32\svchost.exe,svchost.exe,C:\Windows\System32\services.exe,services.exe,1,,0,,
0,29364,C:\Windows\System32\svchost.exe,svchost.exe,C:\Windows\System32\services.exe,services.exe,1,,0,,
0,31480,C:\Windows\System32\svchost.exe,svchost.exe,,,4,,0,,
0,20168,C:\Windows\System32\svchost.exe,svchost.exe,C:\Windows\System32\services.exe,services.exe,2,,0,,
0,30844,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,,,9,,0,,
0,1112,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,,,10,,0,,
0,19440,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,,,11,,0,,
0,23236,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe,,,3,,0,,
0,37196,C:\Windows\System32\svchost.exe,svchost.exe,C:\Windows\System32\services.exe,services.exe,1,,0,,
0,15864,C:\Windows\System32\svchost.exe,svchost.exe,C:\Windows\System32\services.exe,services.exe,2,,0,,
0,15636,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,,,14,,0,,
0,19024,C:\Windows\System32\svchost.exe,svchost.exe,C:\Windows\System32\services.exe,services.exe,8,,0,,
0,8332,C:\Windows\System32\taskhostw.exe,taskhostw.exe,,,1,,0,,
0,37428,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe,msedgewebview2.exe,,,29,,0,,
0,10176,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe,msedgewebview2.exe,,,30,,0,,
0,1496,C:\Windows\System32\svchost.exe,svchost.exe,,,2,,0,,
0,2688,C:\Windows\System32\SecurityHealthService.exe,securityhealthservice.exe,,,8,,0,,
0,18136,C:\Program Files\WindowsApps\Claude_1.9659.2.0_x64__pzs8sxrjxfjjc\app\claude.exe,claude.exe,,,1,,0,,
0,15532,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe,msedgewebview2.exe,,,5,,0,,
1,33896,C:\Windows\System32\wscript.exe,wscript.exe,C:\Windows\System32\svchost.exe,svchost.exe,22,CRITICAL,100,LOLBin Abuse | Sigma Match | Suspicious Parent-Child | Svchost Script Spawn,YES
1,12192,C:\Windows\System32\msiexec.exe,msiexec.exe,C:\Windows\System32\msiexec.exe,msiexec.exe,5,CRITICAL,100,LOLBin Abuse,YES
1,25464,C:\Windows\System32\msiexec.exe,msiexec.exe,C:\Windows\System32\msiexec.exe,msiexec.exe,5,CRITICAL,100,LOLBin Abuse,YES
1,27032,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
1,10052,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,13,CRITICAL,100,Persistence,YES
1,11596,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
1,28276,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
1,27516,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
1,16272,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
1,20616,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,officeclicktorun.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
