Timeline #,Timestamp,Alert ID,Tactic ID,Tactic,Tactic Order,Process,Parent Process,Detection Type,Risk Score,Severity,MITRE Technique,MITRE Name,Destination IP,Registry Path,Detail
1,"Jun 1, 2026 @ 14:21:44.505",AH-F340B7FA,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,C:\Program Files\Microsoft Office\root\Integration\Addons\vc_redist.x64.exe,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
2,"Jun 1, 2026 @ 14:21:44.584",AH-7CC046DD,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
3,"Jun 1, 2026 @ 14:21:44.606",AH-C4C3F510,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
4,"Jun 1, 2026 @ 14:21:44.607",AH-8E2F10B5,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
5,"Jun 1, 2026 @ 14:21:44.608",AH-8F3183C5,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
6,"Jun 1, 2026 @ 14:21:44.609",AH-678CA06D,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
7,"Jun 1, 2026 @ 14:21:44.610",AH-2F65235E,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
8,"Jun 1, 2026 @ 14:21:44.612",AH-4C1DAC08,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
9,"Jun 1, 2026 @ 14:21:44.613",AH-1075047A,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
10,"Jun 1, 2026 @ 14:21:44.614",AH-21AB6D65,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
